video_source,video_filename,video_stem,video_path,tracks_json_path,summary_json_path,updated_at_utc,n_tracks,num_tracks,mean_coverage,median_coverage,25_coverage,mean_fragments,median_fragments,mean_gap_len_mean,median_gap_len_mean,pct_tracks_with_fragments,mean_speed,mean_mean_speed,max_speed,mean_max_speed,mean_team_flip_rate,mean_team_flip_dynamic,entropy,color_var,color_diff,bbox_size,confidence,ball_coverage,ball_tracks,position_role_online_applied,special_seed_processed_frames,special_seed_frames_with_role_predictions,special_seed_position_role_frame_predictions,special_seed_position_role_player_predictions,special_seed_special_seed_assigned_frames,special_seed_special_seed_carry_frames,special_seed_special_seed_unassigned_frames,special_seed_stable_role_tracks_frozen,special_seed_special_ids
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (63).mp4,A1606b0e6_0 (63).mp4,A1606b0e6_0 (63),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (63).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_63_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_63_summary.json,2026-03-13T15:37:37.350846+00:00,25,22,0.8119999999999998,0.9013333333333333,0.7866666666666666,12.454545454545455,11.5,7.9884009490728864,4.597222222222222,0.9545454545454546,2.9851797027667386,2.839853640647995,31.6467672128358,17.6797743926546,0.0,0.0,-1.4428232973175175e-12,32.655173989453694,2.323160357664146,0.41365515892663796,0.8137102275940301,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (64).mp4,A1606b0e6_0 (64).mp4,A1606b0e6_0 (64),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (64).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_64_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_64_summary.json,2026-03-13T15:38:54.746123+00:00,24,22,0.7830303030303031,0.9,0.767,14.090909090909092,10.0,6.372120278806927,4.724264705882353,0.8636363636363636,1.7594723177589242,1.7417430843834412,28.0893374667788,10.245811097635102,0.0,0.0,-1.4428232973175175e-12,19.10314780566921,2.3547891691091696,0.22268171648799956,0.8059779574242006,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (65).mp4,A1606b0e6_0 (65).mp4,A1606b0e6_0 (65),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (65).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_65_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_65_summary.json,2026-03-13T15:39:07.921224+00:00,24,22,0.8234615851438282,0.9532710280373832,0.8124165554072096,5.454545454545454,5.5,11.594042699724518,5.916666666666667,1.0,2.622944000765265,2.509302841083549,34.92311336979974,19.11606420252648,0.0,0.0,-1.4428232973175175e-12,23.69807185374931,2.098569126971662,0.3622247409381949,0.7825062167570684,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (66).mp4,A1606b0e6_0 (66).mp4,A1606b0e6_0 (66),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (66).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_66_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_66_summary.json,2026-03-13T15:44:15.586166+00:00,25,22,0.7897575757575758,0.8386666666666667,0.7303333333333334,7.5,5.5,24.507898419663125,10.58831908831909,0.9090909090909091,0.9348229519290298,0.9554179208199041,34.0328443626119,13.062446411872768,0.0,0.0,-1.4428232973175175e-12,28.911255595934207,1.9787591819971149,0.21047259784849937,0.7178863137510585,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (67).mp4,A1606b0e6_0 (67).mp4,A1606b0e6_0 (67),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (67).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_67_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_67_summary.json,2026-03-13T15:46:22.023563+00:00,24,22,0.6814545454545455,0.6646666666666667,0.573,10.590909090909092,11.5,30.012259069151128,12.858299595141702,0.9545454545454546,2.734656105741025,2.7728379149833824,34.87144565685139,22.80615866043372,0.0,0.0,-1.4428232973175175e-12,43.13372460139479,2.738504924062001,0.3457173479527304,0.7495487909012649,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (68).mp4,A1606b0e6_0 (68).mp4,A1606b0e6_0 (68),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (68).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_68_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_68_summary.json,2026-03-13T15:44:13.882541+00:00,24,21,0.32869841269841266,0.37733333333333335,0.15866666666666668,19.476190476190474,21.0,13.2392958037916,12.5,0.8571428571428571,1.038061294835649,0.9854869660908689,39.57731772867174,9.699517264089067,0.0,0.0,-1.4428232973175173e-12,42.04342618703087,3.020841495396507,0.19650985121429781,0.6711418768088517,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (69).mp4,A1606b0e6_0 (69).mp4,A1606b0e6_0 (69),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (69).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_69_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_69_summary.json,2026-03-13T15:48:52.991218+00:00,24,19,0.1913684210526316,0.128,0.05733333333333333,8.31578947368421,8.0,27.348877000192786,25.866666666666667,0.8421052631578947,0.6130751133829577,0.653132186461302,59.71898403065892,11.680094054744348,0.0,0.0,-1.4428232973175173e-12,8.585545724036955,1.4688629143348255,0.12116738245005901,0.6548908412352288,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (7).mp4,A1606b0e6_0 (7).mp4,A1606b0e6_0 (7),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (7).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_7_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_7_summary.json,2026-03-13T13:24:57.882095+00:00,24,22,0.7165311324189827,0.7389853137516689,0.6672229639519359,18.772727272727273,19.0,11.374625367295003,7.821548821548822,1.0,3.6530448954621586,3.662972565862863,77.819931504311,35.678708501787234,0.0,0.0,-1.4428232973175175e-12,44.89015097973391,2.8835371310239046,0.4814773653899106,0.7971376163653425,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (70).mp4,A1606b0e6_0 (70).mp4,A1606b0e6_0 (70),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (70).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_70_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_70_summary.json,2026-03-13T15:49:00.031359+00:00,25,14,0.2707419416364677,0.2136181575433912,0.13584779706275033,7.714285714285714,8.0,90.41120872591459,56.766666666666666,1.0,0.5683110572310792,0.5814778981932056,9.713888318604727,5.460503554823106,0.0,0.0,-1.4428232973175173e-12,58.89845780131454,1.9414141154169802,0.1307037058480661,0.5525497111196056,,,,,,,,,,,,
/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (71).mp4,A1606b0e6_0 (71).mp4,A1606b0e6_0 (71),/home/cmantill/.cache/kagglehub/datasets/saberghaderi/-dfl-bundesliga-460-mp4-videos-in-30sec-csv/versions/1/DFL Bundesliga Data Shootout/train/A1606b0e6_0/A1606b0e6_0 (71).mp4,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_71_tracks.json,/home/cmantill/narrador-futbol/output/tracks_json/tracker/A1606b0e6_0_71_summary.json,2026-03-13T15:51:26.986996+00:00,23,16,0.214,0.186,0.13533333333333333,9.6875,10.5,41.028578192640694,32.75595238095238,0.875,0.9248945060868913,1.1243746196645075,165.95855626828398,31.494637908240996,0.0,0.0,-1.4428232973175175e-12,21.725367999457823,2.0623825523906225,0.12729497203484427,0.5517299844955044,,,,,,,,,,,,
