frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,raw_tracker_unique_count,raw_tracker_id_zero_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.439995691,0.439995691,0.0002258939999997267,0.49515607700000075,0.4900617500000024,0.4900617500000024,0.27145174599999855,0.0003463490000061853,0.0004975119999954813,3.947599999953866e-05,4.063300000289871e-05,31.0,26.0,0.0,26.0,5.0,8.086435135,8.075371289,8.059447679000002,8.075315078000001,0.001469446999999846,0.016954286000000707,0.006627694000000517,1.2217000000092071e-05,4.071629689,3.396735377999999,0.12509272399999816,0.055794558000002326,0.00034856199999921955,2.410800000163249e-05,0.00016170700000017746,0.1522795660000007,0.23215364100000002,2.6280000007261606e-06,5.205000000074733e-05,6.583999997644696e-06,2.3528999999911093e-05,0.0,0.0,0.009725496000001499,3.2650999997940744e-05,9.785499999992453e-05,1.6706000000255017e-05,1.2107999999955155e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.00020664500000222574,0.012389443,0.013454457999998226,0.012030232000000751,3.155399999954511e-05,0.0025700379999982204,0.009427517999998969,21.0,21.0,0.0,0.0009119779999977595,0.0001530370000004666,9.035616171000001
1,0.44658165399999916,0.44658165399999916,0.000178668000000215,0.3901532500000009,0.3843599000000033,0.3843599000000033,0.3731313430000043,8.110299999941617e-05,0.0007540409999862163,4.990999999066048e-05,5.1820999988905214e-05,32.0,27.0,0.0,27.0,5.0,7.7318566929999974,7.7170519030000015,7.699961984999998,7.717017424000002,0.0014431570000006388,0.018996089000001604,0.0063465039999996975,1.1995000001263634e-05,3.5823990040000027,3.555722330000002,0.13153713000000167,0.05453868299999698,0.00031153999999844473,1.91399999991404e-05,8.136699999994335e-05,0.13017752700000074,0.21824134499999914,2.5959999980784687e-06,1.4383999999978414e-05,6.0570000002257984e-06,2.15790000019922e-05,6.47229999977128e-05,0.0,0.012769664000000347,1.608400000208121e-05,4.651000000066574e-05,1.2716000000523309e-05,1.1323000002505523e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012209900000215157,0.01665967399999957,0.019166287999997422,0.016497800000003338,1.583999999965613e-05,0.008868533000001122,0.007612407999999959,21.0,21.0,0.0,0.002369897999997761,0.0001367160000000922,8.588362369999999
2,0.3966703380000034,0.3966703380000034,0.0002380400000063787,0.34202316599999705,0.33665051999998497,0.33665051999998497,0.327268231000005,6.56219999939367e-05,0.0006761970000113138,4.448099998910493e-05,4.5599000003448964e-05,28.0,24.0,0.0,24.0,4.0,8.142263259000003,8.126872937999998,8.110670580000004,8.126840499999993,0.0018707250000034037,0.02113092700000152,0.007726593999997533,1.2920999999721516e-05,3.6803169199999957,3.828787534,0.13521073800000494,0.05971270300000242,0.0003134799999955362,1.9591000004481884e-05,8.703599999648759e-05,0.13970980500000252,0.2356520080000024,2.5659999991489713e-06,1.4936999995995848e-05,6.304999999429128e-06,2.189500000326916e-05,6.026099999445478e-05,0.0,0.013604176000001189,2.024700000191615e-05,4.471499999425532e-05,1.2918999999556036e-05,1.450999999974556e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011749100000457702,0.018251792999997463,0.020632535999993706,0.018074579999996843,1.81460000021616e-05,0.01081154900000314,0.007243770000002314,21.0,21.0,0.0,0.0022509920000004513,0.00012975099999579243,8.902204924
3,0.44785690799999855,0.44785690799999855,0.0001678349999991724,0.39428893200000203,0.3885388279999944,0.3885388279999944,0.37731690400000417,7.540200000022423e-05,0.0007735280000034095,5.036700000715655e-05,5.402899998330213e-05,32.0,27.0,0.0,27.0,5.0,7.680275066,7.666250541999993,7.648566807000002,7.666216376000001,0.0015788329999963935,0.01799918100000042,0.006005983999997966,1.3072000001557171e-05,3.5950543869999976,3.4877235109999987,0.13045393099999814,0.06060114900000002,0.00040702599999775657,2.2981999997284674e-05,0.00010702000000151202,0.1350186550000032,0.21345972100000665,2.643000001967266e-06,1.4376000002869205e-05,6.046000002868368e-06,2.2651000001872035e-05,6.450200000074346e-05,0.0,0.012715642999999943,2.236700000679548e-05,4.660299999414974e-05,1.851999999757936e-05,1.5404000002661178e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011840300000187653,0.016920216999999127,0.01930722399999496,0.016755109000001767,1.8736999997770454e-05,0.008934738000000664,0.007800674999998591,21.0,21.0,0.0,0.0022574079999984065,0.00012959899999742674,8.542192129999997
4,0.4109240820000011,0.4109240820000011,0.00017398100000320937,0.35600250699999947,0.3503497730000049,0.3503497730000049,0.3398834290000252,7.641200001273774e-05,0.0007203649999709683,4.668299999366354e-05,6.153499998617917e-05,31.0,25.0,0.0,25.0,6.0,7.599994089999996,7.585893704,7.569682993999997,7.585849822,0.002423667000002183,0.019276814000001252,0.00872584199999693,1.2716999997053335e-05,3.4649320619999955,3.5283545459999957,0.12514128699999816,0.0545261180000054,0.00023783900000040603,1.727400000106627e-05,6.387799999885146e-05,0.12988767099999876,0.2359609390000017,2.3400000017659295e-06,1.4145999998049774e-05,6.4149999943197145e-06,2.1859999996820534e-05,6.20689999948354e-05,0.0,0.012611802999998645,1.618200000308434e-05,4.494299999890927e-05,1.2781999998878746e-05,1.1394000004827376e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011748099999664419,0.01648756799999518,0.01891799999999222,0.01632026099999706,1.7114999998568692e-05,0.009139894999997011,0.007162382000004186,21.0,21.0,0.0,0.0023022349999948233,0.000128197000002217,8.386300614
5,0.40552755899999937,0.40552755899999937,0.0001862760000008734,0.3430612900000014,0.33807490800001005,0.33807490800001005,0.32810365000000274,6.764899998756846e-05,0.000678722999971626,4.5145999997942e-05,4.7238999997034625e-05,27.0,24.0,0.0,24.0,3.0,8.072157365999992,8.056138333,8.039105110000001,8.056106800000002,0.0015777419999949416,0.019289793999995197,0.006665425000001335,1.0426999999424424e-05,3.6617303300000046,3.7623465700000054,0.12913210000000674,0.05812582299999747,0.0003189410000032922,2.276000000733802e-05,8.535499999595686e-05,0.14476646399999993,0.254913901000009,2.756000000658787e-06,1.4879000005407761e-05,6.128999999077678e-06,2.2428000008289928e-05,6.171399999743699e-05,0.0,0.014673649000002342,1.4634999999429965e-05,4.5546000009721865e-05,1.3266999999927975e-05,9.239999997134873e-06,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.000110550000002263,0.01759924299999227,0.020037579000003802,0.017419384999996623,1.7441000011331198e-05,0.008889004000010914,0.008511944000005656,22.0,22.0,0.0,0.002310776000001624,0.00012756000000990753,8.841247364000004
6,0.4050392500000015,0.4050392500000015,0.0001961659999949461,0.3507794480000115,0.3452818210000288,0.3452818210000288,0.33561905000000536,6.888999996590428e-05,0.0007707879999827583,4.505999996240462e-05,5.199599999627935e-05,30.0,23.0,0.0,23.0,7.0,8.524263771999998,8.510031353999992,8.491305112999996,8.509996167000011,0.0016565460000066423,0.019565521999993507,0.009503524999999513,1.1592000006999115e-05,3.9665533579999988,3.921108437000001,0.1261227229999946,0.05689492700000187,0.00032116799999926116,1.9969999996760635e-05,8.455100000048787e-05,0.14640711399999873,0.24293008799999427,3.2319999974106395e-06,1.5083000008075942e-05,6.3629999971226425e-06,2.2653000002037516e-05,6.310099999495833e-05,0.0,0.012486448999993627,1.5697999998565138e-05,4.7358000003328016e-05,1.2936999993939935e-05,1.1464000010619202e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00010958800000082647,0.0177412970000006,0.02029914800000654,0.01756461500001194,2.595799999483006e-05,0.009639179000004106,0.007898447999991731,21.0,21.0,0.0,0.002418942000005586,0.00013890900000035344,9.300912410999999
7,0.4134679130000052,0.4134679130000052,0.0002068689999958906,0.3435251980000089,0.3382972599999903,0.3382972599999903,0.32848088800007247,8.337199999175482e-05,0.0007469180000327924,4.577699999686047e-05,4.680399995038442e-05,28.0,23.0,0.0,23.0,5.0,7.793523867000005,7.77948446100001,7.7613208439999966,7.779449216000003,0.0016653250000047137,0.0197016990000094,0.009725396000007436,1.2781000009454146e-05,3.6042374640000077,3.5470499719999964,0.13057757400000014,0.05561580100000185,0.00032254100000272956,1.989499999410782e-05,8.607400000926191e-05,0.14280829300000164,0.2493611960000095,2.733000002308472e-06,1.528399999983776e-05,6.6730000014558755e-06,2.3756999993906902e-05,7.251200000268909e-05,0.0,0.012527582000004145,2.39830000055008e-05,5.186399999956848e-05,1.5128999990565717e-05,1.6520999992053476e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001367800000053876,0.018203675999998836,0.020756183999992572,0.018027380999996012,2.067100000147093e-05,0.010744612999999958,0.00726106100000834,21.0,21.0,0.0,0.0024197019999974145,0.0001328059999963216,8.571782375000012
8,0.4754978950000037,0.4754978950000037,0.00018284899999798654,0.4219382730000092,0.4155254509999651,0.4155254509999651,0.4033548790000623,8.361499999409716e-05,0.0008999499999475802,5.159599997739406e-05,5.363599998986501e-05,29.0,24.0,0.0,24.0,5.0,8.508444604999994,8.492860675000003,8.467804810000004,8.492825834000001,0.0017562449999957153,0.026326779000001466,0.008327450000010117,1.378100000692939e-05,4.058815705000001,3.760378005000007,0.13534841500000994,0.05826709500000504,0.0003409189999956652,2.410099999394788e-05,9.148299999139908e-05,0.14814781299999424,0.26981552099999817,5.592000007936804e-06,2.2930000000087603e-05,7.3079999935998785e-06,2.8063000002021e-05,7.612299999948391e-05,0.0,0.013758730999995805,1.7314999993800484e-05,5.247400000030211e-05,1.6024000004222216e-05,1.3417999994658203e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012390099999493032,0.019495560999999384,0.02222927999999058,0.019292692000007605,2.0040999999082487e-05,0.010472176999996918,0.008799312999997255,20.0,20.0,0.0,0.0025743949999963434,0.0001593239999948537,9.428598394000005
9,0.4911191939999924,0.4911191939999924,0.00021509199999059092,0.4557931679999996,0.44876807200002133,0.44876807200002133,0.4360836980000613,9.739599997260484e-05,0.0008878250000208254,5.458799996915786e-05,5.5757999987804396e-05,32.0,26.0,0.0,26.0,6.0,9.786157911999993,9.770282581000004,9.749822961999996,9.770247791999992,0.0017509890000013684,0.01935688899999377,0.006951713999995945,1.0489999993978927e-05,5.071863184999998,4.00390367,0.1415115490000005,0.062042133000005606,0.00035757499999533593,2.130400000055488e-05,9.37379999896848e-05,0.16309875299999987,0.2787246139999979,3.0960000003688037e-06,1.6337999994675556e-05,7.277999998223095e-06,2.6419000008104376e-05,7.437899999729325e-05,0.0,0.014446289999995088,1.9006000002264045e-05,5.289100000993585e-05,1.5898000000902357e-05,1.4614999997775158e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.000136111000003325,0.022038876999999957,0.02461873099998968,0.021835667000004833,1.978800000301817e-05,0.011812044999999216,0.010002414999988218,21.0,21.0,0.0,0.002579556999990018,2.9699999970489444e-07,10.758255538
