frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.5615935860000008,0.5615935860000008,0.0014263499999991325,0.4856733279999972,0.4670880839999967,0.4670880839999967,0.2830576430000029,0.0006919449999891469,0.0005350069999927598,3.704099999879418e-05,3.7389999988590716e-05,31.0,26.0,0.0,26.0,5.0,8.549828397999999,8.537663726000002,8.519800688,8.537620107000002,0.0028364819999993074,0.022376433999998113,0.010464761999998018,1.1454000002686371e-05,4.184103835000002,3.722320795999998,0.14079292000000265,0.05800521100000111,0.0004351999999983036,3.644199999897069e-05,0.00011101900000198839,0.1271495129999991,0.25102173300000175,2.4670000016158156e-06,1.91349999987267e-05,7.148000001677701e-06,2.4688999999966654e-05,0.0,0.0,0.009920716999999968,0.0003541959999999733,0.0007662490000015509,2.0579000000964243e-05,1.433599999955959e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.00013062700000077143,0.014680824999999231,0.014964617999996932,0.014282741999998905,3.639099999830364e-05,0.003169922000001435,0.011075075000000822,21.0,3.277699999770789e-05,0.0002510159999999928,9.614496628000001
1,0.4671606230000016,0.4671606230000016,0.0003166450000016141,0.3939574429999979,0.38762103300000206,0.38762103300000206,0.3768257420000083,7.60479999968311e-05,0.0007695539999978962,5.0167000011924756e-05,4.9284999992238454e-05,32.0,27.0,0.0,27.0,5.0,8.179271790000001,8.164426521999996,8.146095122000002,8.164390332,0.0016242120000029558,0.020477600999999623,0.0066747209999995505,1.3414000001432669e-05,3.7536293600000015,3.8507910820000006,0.13857302200000277,0.05720368800000131,0.000429746999998315,2.4986999996201575e-05,9.46959999978958e-05,0.10439937999999671,0.21203450499999832,2.5360000037721875e-06,1.4750000005392394e-05,6.081999998741594e-06,2.205699999535682e-05,6.416800000152989e-05,0.0,0.012445997000000375,1.664999999917427e-05,4.74750000023505e-05,1.3510999998800344e-05,1.0768999999299922e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00018386500000389105,0.022622581999996783,0.02277543999999665,0.022454512999999565,3.0042000005892078e-05,0.014319892000003165,0.00810324399999729,21.0,1.6322000000457138e-05,0.0001365359999994098,9.063867538000004
2,0.44727411200000233,0.44727411200000233,0.00017448300000211248,0.33473721400000045,0.3297897560000038,0.3297897560000038,0.3210939939999875,6.0034000014752564e-05,0.0006084500000156368,4.4232000014687856e-05,4.32900000078007e-05,28.0,24.0,0.0,24.0,4.0,7.625552296000002,7.611233939999998,7.592130952000005,7.611200050999997,0.001727528000003531,0.02205922000000271,0.008122459000006188,1.172800000404095e-05,3.5817144789999986,3.4759429910000037,0.12532882499999687,0.054092919999995104,0.0003048900000024446,1.9303999998498966e-05,7.814800000005562e-05,0.0937569100000033,0.22885133900000199,2.2629999989476346e-06,1.4303000000381871e-05,6.163999998420877e-06,2.1739999993997117e-05,6.996700000172495e-05,0.0,0.012385299000001737,1.84289999936027e-05,4.9776999993866866e-05,1.3668999997662468e-05,1.0402999997438656e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00017488499999984697,0.017596359000002337,0.017781924999994203,0.017352795000000754,2.8944999996838305e-05,0.009889809999997112,0.007432737999998551,21.0,2.0980999998698735e-05,0.000164584999993167,8.425929124000007
3,0.3826321350000015,0.3826321350000015,0.00016395400000135396,0.3494550779999983,0.3443588250000147,0.3443588250000147,0.33270395299999933,6.42719999888186e-05,0.0007373519999944733,4.3726000008348365e-05,4.579399998760891e-05,32.0,27.0,0.0,27.0,5.0,8.040747949,8.027270995999999,8.0085294,8.027240848000005,0.0015050619999996684,0.018716910999998504,0.006970566999996208,1.2534999996205443e-05,3.704972380000001,3.782232010999998,0.1317987069999944,0.056704096000004256,0.00032462599999405484,1.982300000236137e-05,8.334200000348346e-05,0.09876777699999906,0.20630655900000505,2.858999998522904e-06,1.5642000001037104e-05,6.384999998942931e-06,2.2453999996230323e-05,6.571300000501878e-05,0.0,0.012229009999998652,1.658000000048787e-05,4.629100000386188e-05,1.3502000001608394e-05,1.0676999998793235e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001239300000008825,0.01709138300000035,0.0172326789999957,0.016933501000004014,1.8493999995428112e-05,0.009186480000003883,0.007727300999995634,21.0,1.5354999995054186e-05,0.00012594100000029584,8.790550309000004
4,0.4188649200000043,0.4188649200000043,0.00019199399999791922,0.3438651270000008,0.33911720700000814,0.33911720700000814,0.3303535210000135,6.1002999999004714e-05,0.0006094319999903064,4.168999999620837e-05,4.295200001536159e-05,31.0,25.0,0.0,25.0,6.0,7.754413187999994,7.739911984000003,7.720150308999997,7.739878660999992,0.0014838880000027643,0.020826427999999453,0.008841271999997957,1.3420000001929111e-05,3.614458230000004,3.551122962000001,0.12895429099999944,0.056736055000001784,0.0002519240000111722,1.696400001094389e-05,6.49899999984882e-05,0.1017970369999972,0.23546608499999877,2.4269999983062007e-06,1.555899999061694e-05,6.424999995147118e-06,2.250699999706285e-05,6.53399999919202e-05,0.0,0.012375638999998273,1.7823000007410883e-05,5.4050000002803245e-05,1.6916999996396953e-05,1.1663999998745567e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001489179999936141,0.017690352000002463,0.017840591000009454,0.017524222000005807,2.6601000001846842e-05,0.009881075999999211,0.0076154759999980115,21.0,1.6434000002618632e-05,0.00013380500000437223,8.535503061
5,0.4341726560000012,0.4341726560000012,0.00019347799999991366,0.3185881289999912,0.31356318900007807,0.31356318900007807,0.304219503000013,6.544700003985326e-05,0.0006106619999854956,4.109399998242225e-05,4.303899996216387e-05,27.0,24.0,0.0,24.0,3.0,7.8188736019999965,7.802134778999999,7.782735858999999,7.802101671000003,0.0016602099999971642,0.01950703400000009,0.009193159000005835,1.4733000000433094e-05,3.5999923170000017,3.622115301000008,0.12883779999999945,0.058060538000006545,0.00032818699999381806,2.0536999997489147e-05,8.500299999525396e-05,0.1054015990000039,0.23738716500000123,2.860999998688385e-06,1.606099999662547e-05,7.147999994572274e-06,2.4805999998989137e-05,6.753300000639229e-05,0.0,0.015291297999993958,1.632800000095358e-05,5.3273000006015536e-05,1.4141999997718813e-05,9.370000000785694e-06,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011816599999292521,0.01717236599999694,0.019239152000011472,0.01695841200000814,1.8869999991011355e-05,0.009471853999997393,0.007466659999991521,21.0,0.0019137510000035718,0.00015303500001095927,8.591360332999997
6,0.43047274399999935,0.43047274399999935,0.00015896799999381983,0.3154648250000065,0.31074079700000823,0.31074079700000823,0.30220195000001127,6.170299997165785e-05,0.0006146590000497554,3.977999998028281e-05,4.123199995831328e-05,30.0,23.0,0.0,23.0,7.0,7.829843933999996,7.814561002000005,7.793566364,7.814524814999999,0.0017133829999949057,0.020619040999989124,0.008145011999999952,1.674300000331641e-05,3.645650563000004,3.5796130560000137,0.13452619000000254,0.056568597000008936,0.00025093400000741894,1.717299998915678e-05,6.5709999987007e-05,0.1062840439999917,0.23996951799999522,2.714000004289119e-06,1.578600000584629e-05,6.716999990885597e-06,2.3929000008138246e-05,7.19680000003109e-05,0.0,0.013698654999998894,2.0526000000131717e-05,5.1046000010046555e-05,1.5657999995255523e-05,1.3512999998965824e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011338299999863466,0.019555483999994294,0.022285319000005188,0.019373696000002383,2.0148000004382993e-05,0.011924569000001384,0.007427567999997109,20.0,0.0025750550000083194,0.00015478000000257452,8.598555769
7,0.4514302600000093,0.4514302600000093,0.00017067600001041683,0.31452665100000843,0.3092731450000201,0.3092731450000201,0.29934360900000456,6.818999999325115e-05,0.0007186209999900939,4.036199996448886e-05,4.401999999004147e-05,28.0,23.0,0.0,23.0,5.0,7.822383279999997,7.807316761999999,7.788185701000003,7.807281592999999,0.0018183470000110447,0.020804280000007225,0.006578859000001103,1.3291000001913744e-05,3.6587327759999937,3.555652543000008,0.13374805799999478,0.056761995999991655,0.00038181300000417195,3.605700000264278e-05,0.0001061339999921529,0.10406280600000173,0.24936057600000083,2.58199999336739e-06,1.567099999988386e-05,6.624999997484338e-06,2.3620999996865066e-05,6.802000000050157e-05,0.0,0.013513517999996338,1.784799999882125e-05,5.618699999843102e-05,1.5007000001787674e-05,1.1884999992162193e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001196930000020302,0.017020638000005306,0.019376132000019197,0.01684928800000307,1.9801000007646508e-05,0.010106309000008196,0.006722025999991388,20.0,0.002224014000006491,0.00013148000000740012,8.608170720000004
8,0.5034419410000055,0.5034419410000055,0.00016851200000189692,0.38184597399998665,0.3757617220000071,0.3757617220000071,0.3652008259999775,7.443300000886666e-05,0.0007849290000194742,4.5404999980291905e-05,4.875200002629754e-05,29.0,24.0,0.0,24.0,5.0,8.064181243999997,8.045078797000002,8.025028301999996,8.045042763000012,0.002044664999999668,0.021308593000000542,0.00993684600000222,1.6709999997033265e-05,3.876905413000003,3.5651799799999964,0.13838194600000975,0.059545497000002,0.0003365249999944808,2.0765000002143097e-05,8.735299999784729e-05,0.1087325239999899,0.24239094100001068,3.696000007380462e-06,2.0194999990508222e-05,8.313000009252391e-06,2.7682000009576768e-05,7.229299998812166e-05,0.0,0.01689157300000943,1.8718000006856528e-05,5.254200000592846e-05,1.4565000000743566e-05,1.207699999383749e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011474700001201654,0.016654831000010972,0.018919627000016703,0.016486244999995847,1.9562999995059727e-05,0.009821729999998752,0.006643854999992982,19.0,0.002133811000007313,0.00013098499999841806,8.968906982999997
9,0.47405964100001086,0.47405964100001086,0.00018594700000562625,0.4022211160000069,0.39647894799999506,0.39647894799999506,0.3863926059999443,7.081900004379804e-05,0.0007340259999466525,4.681800000128078e-05,5.087899999978163e-05,32.0,26.0,0.0,26.0,6.0,7.8472132959999925,7.830194238999994,7.811533592999993,7.830159000999998,0.0015637690000005477,0.01828177000000153,0.009030015999996976,1.6962999993097583e-05,3.6546621250000015,3.5788159300000046,0.1330538520000033,0.06154301600000167,0.0003360620000023573,2.0578999993858815e-05,8.791400000518479e-05,0.10802901499999962,0.24596210200000712,3.221000000053209e-06,1.5598000004501955e-05,6.8450000014763646e-06,2.4119000002542634e-05,7.223999999439457e-05,0.0,0.01575686600000381,1.8756000002895235e-05,5.236000001218599e-05,1.4576999987525596e-05,1.3161999987687523e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001247010000042792,0.017639373000008618,0.019981096000009302,0.0174659059999982,2.0343000002753797e-05,0.009867524000000572,0.007576886999999033,20.0,0.0022074440000068307,0.00013427899999385318,8.743968441000007
