frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.6180629179999997,0.6180629179999997,0.0014532880000004411,0.8358826849999978,0.8108618889999981,0.8108618889999981,0.5553657680000121,0.0008982910000128186,0.0005786820000110993,4.582300000421924e-05,4.838400000650722e-05,31.0,26.0,0.0,26.0,5.0,11.994223840000004,11.961234198,11.939886978000004,11.960992217000001,0.02811846699999876,0.062476293999999655,0.017001016999998342,1.5479999998291305e-05,6.1873616359999986,4.958422335000002,0.15589613299999883,0.05729511000000542,0.0007583140000022581,0.00027437199999980066,0.0004924360000018169,0.18290555800000163,0.2884442920000012,2.795000000332948e-06,6.98680000041918e-05,1.8319999995242142e-05,4.024300000082803e-05,0.0,0.0,0.024951645999998107,0.0005361790000009137,0.005518340999998372,4.329700000482717e-05,3.224299999970981e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0003157390000012583,0.014642579000003764,0.015131114999995532,0.013926372000000242,4.64460000060285e-05,0.004089123999996502,0.009789411999996389,21.0,9.30459999963773e-05,0.0003954899999953909,13.465823981999996
1,0.39512275599999924,0.39512275599999924,0.00036878499999914993,0.3885414080000018,0.38269605699999687,0.38269605699999687,0.37090591099997283,0.0001145550000245521,0.0007497330000205693,5.064600001958297e-05,5.232500001284279e-05,32.0,27.0,0.0,27.0,5.0,8.469761947000002,8.455060405000005,8.431984678999996,8.45500226,0.0018937590000049909,0.019914299999996388,0.006825658000003898,1.3555999998970947e-05,3.701608716999999,4.027123768000003,0.15025346699999886,0.06365635200000241,0.00031925199999705,2.214799999933348e-05,8.74800000048026e-05,0.17910017100000175,0.2809928320000026,2.723999998011095e-06,1.4819000000443339e-05,6.481999996310606e-06,2.2759000003702567e-05,9.962799999385652e-05,0.0,0.012352378999999303,2.525300000399966e-05,7.463600000079396e-05,2.589500000027556e-05,1.8494999999063566e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.000220591000001491,0.027308550999997294,0.027461963000000367,0.027128752000002976,3.291299999830244e-05,0.01847702199999901,0.008617431999994096,21.0,1.64930000039476e-05,0.00013691899999912494,9.28160441
2,0.47258309899999773,0.47258309899999773,0.00017452900000591853,0.407333775000005,0.4013507390000086,0.4013507390000086,0.3901742780000177,8.106400001395286e-05,0.0007862749999816288,5.658200000624447e-05,5.654500000673579e-05,28.0,24.0,0.0,24.0,4.0,9.052518776,9.036994666999995,9.013187282999993,9.036959411000005,0.0015782079999979715,0.020409575999998708,0.009253832999995382,1.7591999998956e-05,4.306839390999997,4.061526933000003,0.13263699599999512,0.05940115800000001,0.00024930699999714534,1.8208000000186075e-05,6.493699999765568e-05,0.1614595760000057,0.259598067000006,2.8059999976903782e-06,1.4495000002057168e-05,6.069000001218683e-06,2.283499999577998e-05,7.562100000058081e-05,0.0,0.0133873490000056,1.7962000001148226e-05,5.152199999969298e-05,1.4450000001886565e-05,1.1050999994210997e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011527200000216453,0.01735960300000272,0.01750767499999739,0.017183168999999054,1.8318999998712115e-05,0.008941082999996297,0.00822272399999946,21.0,1.5623999999547777e-05,0.00013244799999512225,9.950282479999998
3,0.4477433690000012,0.4477433690000012,0.0001911620000001335,0.38529034399999773,0.379753679999979,0.379753679999979,0.36903531399999423,7.274999998685416e-05,0.0007344680000116455,4.974900000576099e-05,5.1614999996729694e-05,32.0,27.0,0.0,27.0,5.0,8.854175869999999,8.840238005000003,8.80736872,8.840201664000006,0.001569484000000898,0.018199641999999017,0.006834382999997501,1.4540000002227771e-05,4.016808957000002,4.011914013000002,0.1725527420000006,0.07706267700000069,0.0003746610000021633,2.3513999998669988e-05,0.00010095600000425975,0.20256327699999588,0.2991938579999953,4.353000001344753e-06,2.074900000081925e-05,9.693000002641838e-06,3.618800000282363e-05,7.69990000009102e-05,0.0,0.012059035000000051,1.8036000000165586e-05,5.323099999543501e-05,1.4284999998892545e-05,1.2173999998310592e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0002060229999969465,0.04307900299999545,0.043281010000001174,0.04282672499999762,3.577700000079176e-05,0.024945594000001847,0.017843368999997722,21.0,2.2683000004519727e-05,0.00017932400000120197,9.730955636000004
4,0.9233253829999981,0.9233253829999981,0.00020576900000435216,0.4139753099999979,0.40771166999999053,0.40771166999999053,0.3960135319999978,7.507500000514256e-05,0.0007468370000083269,5.1479000006793285e-05,5.0813999997956216e-05,31.0,25.0,0.0,25.0,6.0,10.027246527000003,10.011684322,9.989094960000003,10.011645993999998,0.0016245210000036536,0.021029710000000534,0.012274740999998812,1.4706999998281844e-05,5.420883166000003,3.84408525500001,0.12986161300000276,0.057785829000010835,0.0003465359999950124,2.3556000002145083e-05,0.0001168269999993754,0.16091207499999882,0.3399586649999975,6.033999994770056e-06,2.963999999394673e-05,1.1170000007609815e-05,4.425000000196633e-05,7.538500000237036e-05,0.0,0.013478124999998897,1.980599999740207e-05,5.0385000008645875e-05,1.573899999129935e-05,1.2577999996210565e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012041899999815087,0.02045230400000264,0.020634196000003158,0.020209175000005075,2.0068000011974618e-05,0.010434414000002334,0.009752865000010047,21.0,2.1650000007866765e-05,0.00016024199999264965,11.385567053000003
5,0.5683236499999964,0.5683236499999964,0.00018119800000704345,0.41057599700000935,0.40493262600001856,0.40493262600001856,0.3940760010000304,6.933899999239657e-05,0.0007311230000226487,4.942500001448025e-05,5.125699999553035e-05,27.0,24.0,0.0,24.0,3.0,8.974024548000003,8.955963867999998,8.929159979999994,8.955908946999998,0.0023688079999999445,0.024088526999989313,0.007894687999993266,1.4078999996058883e-05,4.119461330999997,4.110969503999996,0.1471076170000032,0.062896539999997,0.00036872500000129094,2.1386000000234162e-05,9.332599999822833e-05,0.16412322499999732,0.2896126969999955,3.293000006010516e-06,1.730900000040947e-05,7.1540000021741434e-06,2.6719999993929378e-05,9.567000000743064e-05,0.0,0.016037233000005813,2.7717999998344567e-05,7.084800000711766e-05,1.723900000172307e-05,1.3074999998252679e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001530469999977413,0.021633129000008466,0.023680636000008803,0.021406690999995703,3.237100000319515e-05,0.013034148999992112,0.008338799000000563,21.0,0.0018854270000048245,0.00016207999999551248,9.976992521
6,0.5693754979999994,0.5693754979999994,0.00028940699999679964,0.1202842919999938,0.11628439899998,0.11628439899998,0.1135322939999952,1.999299999511095e-05,0.00018750800002464985,1.6976000011936776e-05,1.5450999995891834e-05,30.0,23.0,18.0,5.0,7.0,11.046904358999996,11.025779131999997,10.997985455000006,11.025735659999995,0.002112764999992578,0.030040634000002342,0.010358742999997617,1.7753999998149084e-05,5.273051443,4.730724957999996,0.16138361000000145,0.08988217399999598,0.0012182119999977203,0.00017850400000440914,0.0001719469999983403,0.24432008300000518,0.454293344000007,3.4370000037142745e-06,6.680300000994066e-05,1.0835000011866214e-05,3.0745000003662426e-05,0.00016023899999595415,0.0,0.01907376799999838,2.733200000193392e-05,8.056599999406444e-05,3.4666000004790476e-05,3.006199999333603e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014948000000458705,0.027327491000008308,0.031339908000006744,0.027107563000001278,2.414600000122391e-05,0.018429683999997337,0.008652326999992965,20.0,0.003811737999996012,0.0002006790000024239,11.771164186999997
7,0.6724526410000067,0.6724526410000067,0.00019612199999130553,0.10557983599998977,0.10129199499995423,0.10129199499995423,0.09791847099998563,2.3016000000097847e-05,0.00022773300000267227,1.8667000006189483e-05,1.5337999997200313e-05,28.0,23.0,18.0,5.0,5.0,16.08122979000001,16.058659147,16.038592482,16.05861511799999,0.0024703720000047724,0.026641703999999322,0.007613645999995811,1.2918999999556036e-05,7.93375958899999,7.205088824000001,0.19919553700000847,0.07295867099999498,0.000408964000001788,2.5843000003078487e-05,0.00012447500000689615,0.19901224300001275,0.39109643700000163,4.502999999544954e-06,2.1141999994256366e-05,8.429999994064019e-06,3.340600000001359e-05,8.809800000619816e-05,0.0,0.020561764999996512,2.2177999994710262e-05,6.239899998661258e-05,1.776999999947293e-05,1.4282999998727064e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0002578460000108862,0.02231999299999643,0.02543353299999751,0.02207722800000056,5.874699999708355e-05,0.01354785199998787,0.008469149999996262,20.0,0.0029187239999970416,0.00019481600000403887,16.887313553
8,0.9375290499999949,0.9375290499999949,0.00020985199999756787,0.1603132799999969,0.1555871519999954,0.1555871519999954,0.1510083980000161,3.220800002168289e-05,0.0002879549999761366,2.0391999996149934e-05,1.908700001251873e-05,29.0,24.0,18.0,6.0,5.0,12.183475115999997,12.158083656000002,12.12596103,12.158005790000004,0.0026079410000079406,0.029368257000001563,0.013521131000004516,3.440300000079333e-05,6.321669905999997,5.069207798000008,0.1479989770000003,0.0655739319999924,0.0003260800000077779,2.781000000595668e-05,0.00011444899999446534,0.1753555829999982,0.29993054400000574,3.8919999951758655e-06,1.9221999991714256e-05,7.752000001914894e-06,2.8096999997728744e-05,0.00013728400000445617,0.0,0.02169062899999119,4.7097999996026374e-05,0.00018328000000167322,0.00012510199999837823,5.5977000002371824e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0004435580000006212,0.021797798999998008,0.0246104259999953,0.021567884000006643,6.004000000814358e-05,0.013018083000005731,0.008488174999996545,20.0,0.0026226810000054,0.00018994599999189177,13.308586235999996
9,0.538222091999998,0.538222091999998,0.00019189200000369055,0.1861256189999949,0.1816737129999666,0.1816737129999666,0.17716457599996716,3.305199999203978e-05,0.000327390999999011,2.4330999991661884e-05,2.3061999968376767e-05,32.0,26.0,18.0,8.0,6.0,11.072751874999994,11.052946319,11.014876784999998,11.052892939000003,0.00197332599999811,0.022701374999996915,0.00790910399999234,1.3060000000564287e-05,4.636826679999984,5.420963110999992,0.15838925599999243,0.09026656599999683,0.00043222299999001734,2.585100000374041e-05,9.909499999594118e-05,0.1968896470000061,0.4781970939999951,4.988000000594184e-06,3.0039000023407425e-05,1.3929999994388709e-05,4.691600000228391e-05,0.00011548000000516367,0.0,0.016670406000002913,2.8919000016003338e-05,8.170399999585243e-05,2.7539999990722208e-05,2.2905999998101834e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0004916830000070149,0.04124335500000598,0.045783316000012064,0.040898761999983435,9.684299999435098e-05,0.02415552599998705,0.016643975000022238,21.0,0.004317250000013928,0.00022271099999215949,11.846003972000005
