frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,raw_tracker_unique_count,raw_tracker_id_zero_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.470936855999998,0.470936855999998,0.00027177000000122575,0.513175798999999,0.5078522809999981,0.5078522809999981,0.2841522060000017,0.00032858300000526697,0.0005047030000042696,3.938900000122203e-05,4.0387000012742647e-05,31.0,26.0,0.0,26.0,5.0,9.149490243999999,9.138444018000001,9.113040124999998,9.138393985,0.0014509389999979305,0.018083537000002536,0.0065753179999994416,1.1382000000281778e-05,4.224836267999997,4.210514532999998,0.13785754400000272,0.06294905400000061,0.00042353100000269706,2.996499999952107e-05,0.000143085000001264,0.19307658500000002,0.25696321599999905,3.144000000787628e-06,1.5562000001523302e-05,6.248999998348381e-06,2.3004999999187703e-05,0.0,0.0,0.009466659000000988,3.46220000011499e-05,9.627200000039693e-05,1.6259999998879948e-05,1.174499999834211e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.00012671500000038805,0.011455776999998335,0.011629298999995541,0.011215366000001836,3.672500000106993e-05,0.0028066100000003757,0.008370859999999425,21.0,0.0,0.0,1.9467999997857532e-05,0.00015405399999934843,10.14579303
1,0.49189414399999976,0.49189414399999976,0.00017554900000149587,0.4119663970000005,0.4062642200000042,0.4062642200000042,0.3948811639999903,8.285500000937418e-05,0.0007655629999980818,5.2660999990905566e-05,5.2699000008260555e-05,32.0,27.0,0.0,27.0,5.0,8.692188501999997,8.677880639999998,8.657282500999997,8.677848477000001,0.0014874440000021139,0.021043669000000875,0.010238401000002284,1.3078000002053614e-05,4.057044285,3.996340529000001,0.13207733400000166,0.06024311800000248,0.0003297920000022714,2.227300000612331e-05,8.354500000251619e-05,0.15166217099999812,0.22657431399999695,2.7359999990039796e-06,1.543499999456799e-05,6.151999997427993e-06,2.2026000003450008e-05,7.143400000586553e-05,0.0,0.012063291000000476,1.692400000052885e-05,4.858799999851726e-05,1.3983999998856689e-05,1.1528999998233758e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012669799999542875,0.017738583999999946,0.01788807100000156,0.0175676680000052,2.1326000002375167e-05,0.009706004999998186,0.00783919999999938,21.0,0.0,0.0,1.6749000003812853e-05,0.00013273799999780067,9.614448575
2,0.3890018400000059,0.3890018400000059,0.0001698570000030486,0.3571389580000002,0.35191481200001107,0.35191481200001107,0.3418449970000168,7.1046999998714e-05,0.0007068569999830743,4.622600000203647e-05,4.836900001947697e-05,28.0,24.0,0.0,24.0,4.0,7.848298653999997,7.833733342000002,7.818170246999998,7.833700745999998,0.0015631709999937016,0.02039743799999627,0.008490621999996506,1.2533999999675416e-05,3.6772051909999988,3.5691562769999976,0.1265703589999987,0.056459186999994415,0.0003379489999986163,2.1568000001082055e-05,8.649300000485027e-05,0.12776315300000363,0.22998057799999572,3.575000000921591e-06,1.539900000580019e-05,5.805000000691507e-06,2.1696000004567395e-05,6.372699999701581e-05,0.0,0.012988133000000346,1.773500000012973e-05,4.7610999999392334e-05,1.3152000001070974e-05,1.012799999955405e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.000109131999998624,0.015299390000002688,0.015445877999994195,0.015131783000001064,1.8179000001339318e-05,0.008413294999996879,0.006699304000001405,21.0,0.0,0.0,1.8384999997067553e-05,0.00012810299999443941,8.610337939000004
3,0.4076521710000023,0.4076521710000023,0.0001582149999990179,0.38081882499999864,0.37544609299997944,0.37544609299997944,0.3649478969999649,7.319900000624102e-05,0.0007113959999998087,4.8721999974077335e-05,5.503300000953004e-05,32.0,27.0,0.0,27.0,5.0,7.739930500999996,7.723868066999998,7.704125148000003,7.723835134000005,0.0020937779999954387,0.018223800000001233,0.005641412999999318,8.915000002218676e-06,3.5829061190000004,3.567562768000002,0.1217378479999951,0.05348713100000424,0.00032022399999931395,2.162999999910653e-05,8.061899999489697e-05,0.13621608200000423,0.215705131,3.0879999997068808e-06,1.5558999997722367e-05,6.6280000012852724e-06,2.33590000036088e-05,6.396400000596714e-05,0.0,0.014758209999996552,1.573000000121283e-05,4.707400000114603e-05,1.3660000000470518e-05,1.0836000001290813e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011830700000103889,0.017962920999998744,0.01814210799999927,0.017801247000001297,1.9265000005930233e-05,0.009818337999995208,0.007962616999996897,21.0,0.0,0.0,1.6840000000684086e-05,0.0001623469999998406,8.546999160000006
4,0.423088682999996,0.423088682999996,0.00017043399999749909,0.34915120000000144,0.34407984099999567,0.34407984099999567,0.33365475800001576,7.036899999235402e-05,0.0006879069999925491,4.6800999982110625e-05,4.738700000217477e-05,31.0,25.0,0.0,25.0,6.0,7.677375999000006,7.66377834,7.646135586999996,7.663747780000001,0.0015129680000001144,0.02089370100000565,0.006904421000001548,1.2836999999876753e-05,3.588603663999997,3.4869074100000006,0.12455074000000366,0.05344951899999728,0.0003236450000017044,2.3223999995991562e-05,8.066099999837206e-05,0.12981808499999659,0.23293253499999622,2.9169999962164184e-06,1.5232999999170715e-05,6.4239999986170915e-06,2.125599999658334e-05,5.8947999995950795e-05,0.0,0.011964774999995598,1.834199999706243e-05,4.4139999999970314e-05,1.246199999371811e-05,1.1155000002815996e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011750400000209993,0.017347608000001458,0.017537267000001577,0.017182197000003896,1.773500000012973e-05,0.009963190999997096,0.007200010999994788,21.0,0.0,0.0,2.4451000001590728e-05,0.00016520799999852898,8.467633204000002
5,0.39584688200000073,0.39584688200000073,0.00015655600000030745,0.33186020899999846,0.3270414730000084,0.3270414730000084,0.317878051000001,8.237599998750511e-05,0.0006452129999914291,4.1920000015238656e-05,4.549100000872386e-05,27.0,24.0,0.0,24.0,3.0,7.476085896000001,7.4599140030000015,7.444447128,7.459881795999998,0.0016840600000023187,0.01854237799999936,0.007095929999998418,1.4845999999124615e-05,3.4134987870000018,3.462249218000011,0.12382156500000008,0.052158977000004825,0.00031153500000868917,2.146099998867612e-05,7.910499999752574e-05,0.13369649500000946,0.23114973199999156,3.46499999182015e-06,1.4081000003329791e-05,5.779000005645685e-06,2.1422000003212815e-05,6.177999999579242e-05,0.0,0.014895881999997584,1.7630000002100132e-05,4.656800000191197e-05,1.3120000005528709e-05,8.641999997394123e-06,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00010584499999310992,0.016227354999998056,0.017188437999990924,0.016006601000000842,1.7651999996814993e-05,0.00907078900000613,0.006917123999997443,21.0,21.0,0.0,0.000831884999996646,0.00012919799999622228,8.221404445000005
6,0.4049115980000124,0.4049115980000124,0.0001508179999945014,0.31008906400001024,0.3049893009999636,0.3049893009999636,0.29448368800005653,6.814400005339394e-05,0.000638038000005281,4.3631999986359915e-05,4.5853000003148736e-05,30.0,23.0,0.0,23.0,7.0,7.645923187000008,7.631802996999994,7.612922064000003,7.631757299,0.0016677919999921187,0.01911149000000023,0.00729893599999798,1.0235000004854555e-05,3.508651581999999,3.5286540090000074,0.12771152099999483,0.053403670000008674,0.0003070629999939456,2.0626999997830353e-05,7.837199999016775e-05,0.132782210000002,0.2331028640000028,2.653000009900097e-06,1.4375999995763777e-05,5.982000004678412e-06,2.1539999991659897e-05,9.184799999673032e-05,0.0,0.012004548000007276,2.2600999997735016e-05,6.915100000526309e-05,2.3276999996824088e-05,1.864200000056826e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00016413299999840092,0.016107796000000008,0.01850403400000289,0.015926953000004573,3.8615999997659856e-05,0.009535721999995417,0.006351534999993191,20.0,20.0,0.0,0.0022449690000030387,0.0001512689999998429,8.379935565000011
7,0.3968929469999978,0.3968929469999978,0.00015531799999735085,0.31151212499999303,0.30679258399992193,0.30679258399992193,0.2979531529999946,6.453500000702661e-05,0.0006330879999865147,4.3038000015371836e-05,4.236100001264731e-05,28.0,23.0,0.0,23.0,5.0,7.733465734999996,7.719121995999998,7.701144975999995,7.719086558000001,0.0017352959999925588,0.018502673999989838,0.0059368649999953504,1.2277000010385564e-05,3.5623610269999944,3.5603345970000078,0.12320932699999787,0.056164780000003134,0.00034055600001181574,2.416399999560781e-05,8.42240000054062e-05,0.13868895599999576,0.2336290389999931,2.9069999953890147e-06,1.496099999087619e-05,5.888000004006244e-06,2.274300000237872e-05,6.098199999371445e-05,0.0,0.01294550000000072,1.6490999996676692e-05,4.550299999550589e-05,1.3387999999281419e-05,9.994000009783122e-06,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00010815299999933359,0.015163060000006112,0.017389424000000986,0.01499739300000158,1.8010000005119764e-05,0.008926149000004102,0.006052256000003808,20.0,20.0,0.0,0.002097499000001335,0.00012886499999353873,8.459686939999997
8,0.3867506469999995,0.3867506469999995,0.00020410400000514528,0.34428616799999645,0.3393836249999822,0.3393836249999822,0.32996643000002734,6.755799999780265e-05,0.0006471239999825684,4.338499996947576e-05,4.6577999995633945e-05,29.0,24.0,0.0,24.0,5.0,7.812173289,7.79855704900001,7.7773141469999985,7.798525186000006,0.0015408670000027769,0.020156724000003123,0.007229117999997925,1.1942999989855707e-05,3.4858773260000078,3.708207002000009,0.12325599199999715,0.05662311599999725,0.00031803199999558274,2.1541999998930805e-05,8.686099999977159e-05,0.13843159299999286,0.23542792599999984,3.0300000020133666e-06,1.5634999996905208e-05,6.208999991486053e-06,2.1957000001293636e-05,6.837300000483992e-05,0.0,0.011945593000007193,1.7305000000078508e-05,4.5972999998866726e-05,1.431600000501021e-05,1.8138000001499677e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011930899999867961,0.015261514000002308,0.01734146499998701,0.015091331999997237,2.3106000000439053e-05,0.009062653999990289,0.006004578000002425,19.0,19.0,0.0,0.0019478349999957345,0.00013211599998896872,8.561044386999995
9,0.40968269800001167,0.40968269800001167,0.00014924300000984658,0.37200775000000874,0.36658886699999016,0.36658886699999016,0.35662646500001927,7.217700006378891e-05,0.000703958000002558,4.576399999223213e-05,4.7855999980583874e-05,32.0,26.0,0.0,26.0,6.0,7.657702024000002,7.64417473200001,7.629411074000004,7.644144709999992,0.0015573459999984607,0.017438007999999172,0.0066814080000057174,1.4401000001385e-05,3.5397432479999935,3.5083061990000033,0.1275713269999983,0.05432420699999341,0.0003134269999947037,2.0989999995890685e-05,8.06740000030004e-05,0.13805796100000123,0.23517488400000275,3.2409999874971618e-06,1.444099999048376e-05,5.861999994749567e-06,2.250099998946098e-05,6.20680000054108e-05,0.0,0.01223564300001101,1.601499999992484e-05,4.469099999937498e-05,1.333500000555432e-05,1.1063000002309309e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011856899999429515,0.01701230899999473,0.019181892000005973,0.016843713000000093,1.8632999996270883e-05,0.009657668000002673,0.007166397999995411,20.0,20.0,0.0,0.00203621700001122,0.00013336600000002363,8.459081665
