frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.9139983339999986,0.9139983339999986,0.001582260999999363,0.5436309380000033,0.5208474039999977,0.5208474039999977,0.28188971600000556,0.0005751800000020069,0.00046793300000302906,3.646799998691108e-05,3.892099999447396e-05,31.0,26.0,0.0,26.0,5.0,9.064459359,9.048111187,9.026770116000002,9.048068440000002,0.002869821999997413,0.025604881999999662,0.011155032999997871,1.977799999863805e-05,4.4854103599999995,3.886278726999997,0.13809364499999788,0.056442738999997744,0.0002931079999974884,3.500300000069956e-05,9.69879999992429e-05,0.17639910999999842,0.24392492199999793,2.9230000002655743e-06,1.6990999998967027e-05,6.604999999382244e-06,2.3751000000515887e-05,0.0,0.0,0.013724510999999495,0.0003787610000003383,0.0008806299999974954,1.945500000033462e-05,1.3670000001297922e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.00012051300000237575,0.011743758999998022,0.011932656999995572,0.011498889999998596,3.140199999762672e-05,0.0028561559999999986,0.008610359000002177,21.0,2.0410999997722e-05,0.0001684869999998284,10.536633057
1,0.5702404289999983,0.5702404289999983,0.00021917499999801748,0.4508855459999985,0.44508029400000026,0.44508029400000026,0.43345615399999105,7.614500000485691e-05,0.0007695389999966551,5.2078000006616776e-05,5.647100000416572e-05,32.0,27.0,0.0,27.0,5.0,11.00512105,10.989537777000002,10.951850134999997,10.989467987999998,0.001591207000000594,0.020543454999998545,0.00796156099999834,1.3397000000026082e-05,4.6422870839999995,5.369571927000003,0.23777805599999624,0.09866999599999815,0.00039040700000469997,4.248799999828634e-05,9.671899999830202e-05,0.1952969539999998,0.3773895160000009,4.471999993427289e-06,7.328800000294677e-05,1.2301000005265905e-05,4.166400000116255e-05,0.0001075139999997532,0.0,0.012786131000002143,1.9285000000479613e-05,5.7681999997782896e-05,2.545700000666784e-05,1.2294999997664036e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00015186699999958364,0.02372144999999648,0.023936505000001773,0.02345937499999451,2.5813000000596276e-05,0.013769845000005887,0.009662218999999084,21.0,1.8441000001701013e-05,0.00019661400000359208,12.050755315999996
2,0.7177504949999971,0.7177504949999971,0.0002061170000047241,0.44196597600000587,0.4355821629999923,0.4355821629999923,0.4239279220000114,7.376400000680405e-05,0.0009432760000080975,5.323999999973239e-05,5.118000000692291e-05,28.0,24.0,0.0,24.0,4.0,11.676823626000001,11.659052840000001,11.639091268000001,11.659009838000003,0.0021340199999997367,0.02480384999999785,0.01115720699999656,1.4205999995908769e-05,5.5657004400000005,5.2792501270000045,0.1579636149999999,0.07014836900000176,0.00048310799999740084,6.890799999581532e-05,0.00014815699999815024,0.15531225499999834,0.3717715049999981,2.8130000018222745e-06,1.5603000001362943e-05,6.444000000271899e-06,2.2905000001571807e-05,8.983200000045599e-05,0.0,0.016163635999994597,1.9561000001999673e-05,5.8613000000207194e-05,1.455599999644619e-05,1.4857000003587473e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00015662100000213286,0.027784497999995494,0.02798597099999256,0.027543082999997637,2.5282000002846416e-05,0.016574657999996134,0.01094150599999466,21.0,3.7757000001192864e-05,0.0001637159999958726,12.865135314999996
3,0.8906232530000011,0.8906232530000011,0.00016606100000160495,0.40149082299999606,0.39590865099998496,0.39590865099998496,0.3841990859999882,7.029600001118297e-05,0.0007543919999548621,5.268900000743315e-05,5.1450000015051955e-05,32.0,27.0,0.0,27.0,5.0,8.347482426000006,8.333589579000005,8.305561309000005,8.333556567000002,0.0016965530000021545,0.019599726999999234,0.0063445749999999634,1.21769999950061e-05,3.613658698000002,4.025489778000001,0.15780712300000488,0.06295266699999758,0.0003495090000029677,2.3392999999316544e-05,8.657299999725865e-05,0.14892008599999684,0.2684883960000022,3.1999999947629476e-06,1.582199999461409e-05,6.53099999681217e-06,2.3534000007430222e-05,7.562099999347538e-05,0.0,0.01220896800000304,1.9147999992696896e-05,5.448400000318543e-05,1.5313000005789945e-05,1.1925999999107262e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012559599998951398,0.01929952899999421,0.019449377000000823,0.019131035000000907,2.0117999994795355e-05,0.010721821999993608,0.008388119999992227,21.0,1.5457000003493704e-05,0.0001343910000031201,9.659521175999998
4,0.46066283900000826,0.46066283900000826,0.00017684500001280412,0.3648008420000082,0.35884843999993166,0.35884843999993166,0.3484263580000402,7.408800003361193e-05,0.0007102079999867783,4.806299996573671e-05,4.849199997636333e-05,31.0,25.0,0.0,25.0,6.0,9.565537380999999,9.549929274999997,9.519468466999996,9.549878402999994,0.001584641999997416,0.02103697799999793,0.008524435000012431,1.4256999989470387e-05,4.348965062000005,4.495015461000008,0.13340861099999302,0.0572047220000087,0.0003662270000006629,2.3812999998540363e-05,8.481600001175593e-05,0.16029455000000326,0.2928077330000036,3.268000000389293e-06,1.8031999999834625e-05,6.4609999981257715e-06,2.5643999990165867e-05,0.00011632099999303591,0.0,0.012433418000000529,4.643500000156564e-05,0.0008991149999957315,3.418999999382777e-05,2.1614000004888112e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.000236375999989491,0.02876674299999138,0.02900511299999664,0.028402871000011487,4.4354999999995925e-05,0.018473221999997236,0.009883564999995542,21.0,2.4160999998912303e-05,0.00021420900000634902,10.420686427000007
5,0.4510364839999994,0.4510364839999994,0.00016778699999520086,0.3842928549999982,0.37832666300000994,0.37832666300000994,0.36735869000004584,7.322200001169676e-05,0.0007031329999591662,5.1381000005790156e-05,4.844500004708152e-05,27.0,24.0,0.0,24.0,3.0,7.792642633,7.774908662999991,7.753351717000001,7.774866787999997,0.00183079999999336,0.020191572000001656,0.007013428000007593,1.7857000003118628e-05,3.777882484999992,3.420791984999994,0.12001626900000417,0.0532802270000019,0.0003233660000034888,2.5191999995399783e-05,9.064099999989139e-05,0.13595822699998905,0.21578588900000284,2.730999995037564e-06,1.660299999173276e-05,6.335999998441366e-06,2.2052000005601258e-05,7.844000001000495e-05,0.0,0.015827924999996412,2.006699999412831e-05,5.3930999996509854e-05,1.3823999992723657e-05,1.0079999995582511e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011878599998738082,0.01646075200000041,0.01941154399999334,0.01626288900000361,2.2829999991813565e-05,0.009457878000006303,0.006781197999998767,21.0,0.002794697999988216,0.00015609400000471396,8.647938563000011
6,0.3695246609999998,0.3695246609999998,0.00015298099999938586,0.29150017000000616,0.2867690550000219,0.2867690550000219,0.2781618210000403,6.61800000330004e-05,0.0005822810000353229,3.8991000010923926e-05,4.0616999996245795e-05,30.0,23.0,0.0,23.0,7.0,7.480331711000005,7.465511866,7.447767329000001,7.465474974999992,0.002201104999997483,0.021868738000009103,0.008281061999994677,1.5613000002190347e-05,3.347927631999994,3.4717569649999973,0.13650228599999537,0.07683435500000257,0.00033967100000609207,2.2927000003392095e-05,9.343799999328439e-05,0.14618882500001007,0.23558930299999759,2.9369999907657984e-06,1.5298999997526153e-05,6.653999989225667e-06,2.240800000663512e-05,7.83349999977645e-05,0.0,0.013290099000002442,1.9938999997748397e-05,8.314199999404082e-05,1.4821999997138846e-05,1.294199999790635e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011167200000272715,0.017320166000004633,0.019738544000006186,0.01714888499999745,2.0753999990574812e-05,0.010550403000010533,0.0065766539999998486,20.0,0.002270391999999788,0.0001479860000017652,8.161534180999993
7,0.3910536819999919,0.3910536819999919,0.00019543199999816352,0.32940014800000483,0.32321724400001983,0.32321724400001983,0.3123616489999961,8.679999997696086e-05,0.0007501669999783189,4.346900000484766e-05,4.584000001273125e-05,28.0,23.0,0.0,23.0,5.0,7.725041806999997,7.709942525999992,7.686348278000011,7.709905112000001,0.0017498480000028849,0.020863736999999105,0.006705698000004645,1.6690000009589312e-05,3.4820303639999963,3.599330742999996,0.1337573919999926,0.057084322999997994,0.00032943499999760206,2.3118000001431938e-05,8.620399999870187e-05,0.14644920799999284,0.23777561200000719,3.1020000079706733e-06,1.545199999952729e-05,6.257999999093045e-06,2.2114000003625733e-05,8.120300000769021e-05,0.0,0.013099306000000865,2.8075000003013884e-05,7.673800000418396e-05,2.118800000516785e-05,1.3111000001231332e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00013822400001117785,0.01615351600000281,0.01850876700001436,0.015983520000006024,2.6947000009158728e-05,0.009514629999998192,0.006440971000003515,20.0,0.002183642000005648,0.00017160900000590118,8.464506524
8,0.39812202999999613,0.39812202999999613,0.00015087100000243936,0.35922719499998834,0.3534694860000087,0.3534694860000087,0.34267572500002075,8.059300004958914e-05,0.0007289670000432125,4.464400001324975e-05,4.7460000033083816e-05,29.0,24.0,0.0,24.0,5.0,7.476923667999998,7.461712255000009,7.435132177999989,7.461667794000007,0.0015927520000076356,0.02105451999999275,0.008354894999996532,1.5829000005851412e-05,3.4356315929999965,3.4055413889999926,0.12537621299999557,0.055630999999991104,0.00031857399999069,2.0821999996201157e-05,8.436500000641445e-05,0.13660113999999624,0.2447784740000003,3.63600000241604e-06,1.5959999998926833e-05,6.368999990513657e-06,2.2590999989802185e-05,0.0001192330000066022,0.0,0.013154851000010126,2.3271000003433073e-05,7.462900001087291e-05,1.3791999990075965e-05,1.2327999996841754e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014835900000775837,0.01785291400000233,0.02043696999999156,0.017627911999994694,4.3743999995626837e-05,0.011161897000008025,0.006421359000000848,19.0,0.0023230819999895402,0.00026097399999969184,8.255184497000002
9,0.45819528199999127,0.45819528199999127,0.00016805699999622448,0.3955593139999962,0.38919814099998007,0.38919814099998007,0.3774012620000491,9.090700000058405e-05,0.0008085460000302191,5.8255000013218705e-05,5.226500003630008e-05,32.0,26.0,0.0,26.0,6.0,7.387553765000007,7.3720448220000065,7.354495607000004,7.372004308000001,0.0018126679999994622,0.021284656999995377,0.007038026000003583,1.532599999620743e-05,3.379679571000011,3.397929230999992,0.12342107599999963,0.053745130999999446,0.000328314999990198,2.0894000002158464e-05,8.535599999959231e-05,0.14270724499999687,0.22629555299999993,2.9469999986986295e-06,1.5674000010790223e-05,6.427000002418026e-06,2.2614000002363355e-05,7.669299999690793e-05,0.0,0.013868855000012559,4.103099999497317e-05,5.34200000004148e-05,1.4419999999404354e-05,1.3485999986073693e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012288500001034208,0.017190422999988186,0.01941955099998438,0.017002972000000227,2.076900000247406e-05,0.009855358999999453,0.007125818999995204,20.0,0.002076688000002491,0.00015243999999370317,8.261288777999994
