frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.5857784489999993,0.5857784489999993,0.0014618810000008864,0.5548931809999971,0.5294198400000134,0.5294198400000134,0.30173225399999026,0.0007945150000061574,0.0006591349999744978,4.184900000225866e-05,4.08910000047058e-05,31.0,26.0,0.0,26.0,5.0,8.896327349,8.882719620000003,8.862655375,8.882686240999998,0.003543236999998811,0.027356887999999913,0.011207276000000377,9.583000000645825e-06,4.276991788,3.9191295179999983,0.14624065299999955,0.06312768400000124,0.000354371000000242,2.7314000000444594e-05,8.387399999776335e-05,0.16627811700000095,0.24816895200000033,2.87499999984675e-06,1.4520000000572963e-05,6.378000001916462e-06,2.1985000000057653e-05,0.0,0.0,0.010727000000002818,0.0005481849999995347,0.0009943029999988084,1.8946999997382363e-05,1.5497999999780632e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0001281770000005622,0.013824005000000028,0.014000040999999186,0.0135399480000018,3.0410999997343424e-05,0.003306085999998487,0.010202442999997174,21.0,1.7098999997244846e-05,0.00015893700000191302,10.053477762
1,0.49024356700000027,0.49024356700000027,0.00022848400000086144,0.3987243850000013,0.39315436100000056,0.39315436100000056,0.381667752000002,8.077100000392079e-05,0.0007427789999958634,4.80229999908488e-05,5.131999999719028e-05,32.0,27.0,0.0,27.0,5.0,8.770299684999998,8.754556871999995,8.732674589000002,8.754514145000002,0.001736620999999161,0.021960088000000155,0.0068940270000013015,1.3486000000284548e-05,3.7713534760000016,4.380353543999995,0.1382467620000014,0.05656751000000071,0.0002410119999964877,1.7975999995201164e-05,6.099099999801183e-05,0.136993621000002,0.21807428000000328,2.8509999978609812e-06,1.4518000000407483e-05,6.149999997262512e-06,2.2377000000517455e-05,9.108999999796197e-05,0.0,0.012743256000000258,3.190199999636434e-05,6.44180000008987e-05,2.5315000002024135e-05,2.1238000002199442e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014646099999993112,0.023130068999996922,0.023280463999995504,0.022941250000002356,2.8729999996812694e-05,0.014771727000002954,0.008139317999997786,21.0,1.8326000002844012e-05,0.00013206899999573807,9.683115386
2,0.40419181600000087,0.40419181600000087,0.00017979799999778834,0.3429690290000025,0.3376344989999964,0.3376344989999964,0.3278750269999833,6.961900000135302e-05,0.0006673809999924174,4.2415999992329034e-05,4.52080000030719e-05,28.0,24.0,0.0,24.0,4.0,7.987606438999997,7.973080015000001,7.956073513999996,7.973048249000001,0.0016934439999971573,0.020864431999996214,0.008951701000000867,1.4055999997708568e-05,3.6554986229999997,3.7237378160000034,0.13086341099999999,0.05819078099999331,0.00031744200000360934,2.238900000151034e-05,8.586199999882638e-05,0.13211474799999934,0.22359267200000232,2.61600000328599e-06,1.3639000002285684e-05,5.491999999662767e-06,2.0861999999510772e-05,6.816700000200626e-05,0.0,0.01284946699999523,1.798499999949854e-05,5.181600000270237e-05,1.300499999956628e-05,1.0668000001601285e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011091100000015786,0.01659228900000187,0.016734598999995853,0.01643100399999753,1.8103999998686504e-05,0.009324061000000938,0.00708790699999895,21.0,1.7130999999892538e-05,0.0001251789999940911,8.751984516
3,0.3970552020000042,0.3970552020000042,0.00025608600000026627,0.402202109000001,0.39681040800000034,0.39681040800000034,0.38640928400001684,7.522099998880094e-05,0.0007526240000217399,6.424400003623987e-05,5.157000000366452e-05,32.0,27.0,0.0,27.0,5.0,8.085294855999997,8.070921995999996,8.052632224,8.070885361000002,0.0019804519999979675,0.019563744000002714,0.007285754000001532,1.163499999989881e-05,3.7470044000000016,3.726723978999999,0.13154490499999838,0.058937428999996655,0.00043931799999796795,3.656599999857235e-05,8.928800000518322e-05,0.13954673899999648,0.21934465500000044,2.6559999994901773e-06,1.5600000004667436e-05,6.269000003555902e-06,2.2231000002648216e-05,6.176699999826951e-05,0.0,0.012985168000000158,1.588199999957851e-05,4.921000000024378e-05,1.3592999998479627e-05,1.2362999996184953e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00013284199999930024,0.019398082000002148,0.01955155599999614,0.01922200900000348,2.015799999810497e-05,0.01077711800000003,0.008423609000004717,21.0,1.6965999996898518e-05,0.00013650799999709307,8.904670506999999
4,0.480233166000005,0.480233166000005,0.00017922100000333785,0.36842456400000145,0.3630087380000191,0.3630087380000191,0.3528084620000058,7.362100003405203e-05,0.0006974479999968253,4.925099997876714e-05,4.88149999853249e-05,31.0,25.0,0.0,25.0,6.0,8.182399333,8.166965595,8.148001185000005,8.166932019,0.0016304310000023747,0.021507088999996427,0.007568671999997889,1.2833999996075818e-05,3.7726143239999956,3.744924516999994,0.13766092999999557,0.06124151999999583,0.00034637400000292473,2.294600000141145e-05,8.815500000025622e-05,0.149654991999995,0.2505973009999991,2.8259999993451856e-06,1.5231000006110662e-05,6.581999997479215e-06,2.3190999996813844e-05,7.355500000016946e-05,0.0,0.01350039500000122,1.854899998932069e-05,5.140300000050502e-05,1.4347999993447047e-05,1.2854000004836053e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012603300000080253,0.01884856200000229,0.01903962299999762,0.018665237999996975,2.348700000709414e-05,0.010732737000012094,0.007907815999999457,21.0,1.8027999999503663e-05,0.00017303299999582578,9.050598465000007
5,0.4740597769999937,0.4740597769999937,0.00022050600000511622,0.3573134100000033,0.3522386160000366,0.3522386160000366,0.34212708900000166,0.00010231500002078064,0.0006781729999403296,4.3978999968885546e-05,4.6277999970811834e-05,27.0,24.0,0.0,24.0,3.0,8.308038720999988,8.292718842,8.274176406999999,8.292684856999998,0.0017655169999954978,0.02175282299999992,0.007225157999997123,1.2103999992518766e-05,3.8799224129999885,3.7782639819999986,0.133539882000008,0.05755992199999582,0.00024851399999192836,1.8355999998220796e-05,6.812800000943753e-05,0.14854108100000474,0.24512946699999816,3.2089999990603246e-06,1.5957000002231325e-05,6.498000004739879e-06,2.4064000001544628e-05,7.517899999243127e-05,0.0,0.013541574000001333,1.864299998999286e-05,5.42110000054663e-05,1.4586999995458427e-05,1.0243999994941078e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012037800000541665,0.018245509999999854,0.02022008600000902,0.01802045099999816,1.990799999873616e-05,0.01002119700000037,0.007977824000008127,21.0,0.0018392400000095677,0.00013533599999959733,9.160146224999991
6,0.4379352370000049,0.4379352370000049,0.00018686199999251585,0.34059997699999656,0.33518163399998,0.33518163399998,0.3251871600000271,7.523099999673377e-05,0.0007055849999773045,4.285700001105397e-05,4.6433000036927297e-05,30.0,23.0,0.0,23.0,7.0,8.511759554999998,8.495527546000005,8.472023627999988,8.495488431999988,0.0019503740000033076,0.022321597999990672,0.01062333299999807,1.2365000003455862e-05,3.8964955179999947,3.9513443430000024,0.13309884800000304,0.06509045500000354,0.0003356179999940423,2.3592999994548336e-05,8.475500000315606e-05,0.14885724399999845,0.24164998199999843,3.2709999970848003e-06,1.5707000002862515e-05,6.222999999749845e-06,2.371399999390178e-05,8.290200000260484e-05,0.0,0.013982771999991428,2.0121999995126316e-05,5.72000000005346e-05,1.5154999999822394e-05,1.4055999997708568e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001363460000050054,0.018111535999992157,0.0206437089999838,0.01792770900000562,2.87499999984675e-05,0.011088082000000554,0.006809742999990931,20.0,0.002386747999992167,0.00014542499999947722,9.311448037000005
7,0.42952306900001247,0.42952306900001247,0.0002570810000008805,0.35285204699999895,0.34770041700001286,0.34770041700001286,0.33769289500001776,6.811300001174914e-05,0.0006588080000113905,4.403799995600366e-05,4.5069000023545414e-05,28.0,23.0,0.0,23.0,5.0,8.398177617000002,8.383275748000003,8.364657416,8.383240216000004,0.0017148679999934302,0.01958337599999993,0.0069575099999923395,1.0432999999920867e-05,3.809011044999991,3.9353988240000035,0.13949041700000464,0.060116257000004225,0.00033704199999817774,3.869900000097459e-05,0.00010771100001250034,0.1464304109999972,0.24532759099999168,3.06600000499202e-06,1.653900000064823e-05,6.562999999459862e-06,2.387199999986933e-05,7.233699999176224e-05,0.0,0.013249612999999272,1.933599999404123e-05,5.390500000146403e-05,1.425399999277488e-05,1.1729999997101004e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011624900000128946,0.017732378000005156,0.020336204999992447,0.01754490700000133,1.9371000007595285e-05,0.009927125999993791,0.0075973189999984925,20.0,0.0024543179999909626,0.00014950899999632838,9.201488640000008
8,0.42980118399999867,0.42980118399999867,0.0001694870000079618,0.3664867930000071,0.361217558999968,0.361217558999968,0.3511605599999825,7.813100002351803e-05,0.0007045730000214689,4.459500000564276e-05,4.771600002584364e-05,29.0,24.0,0.0,24.0,5.0,8.376853312000009,8.361587379,8.342256800000001,8.361552039000003,0.0017716039999982058,0.02243352600000037,0.00810275499999591,1.4277000005336049e-05,3.776186385999992,3.9364844639999887,0.14055023499999209,0.058860722000005694,0.0003274330000095915,2.215800000726631e-05,8.282400000325651e-05,0.15321834700000636,0.24405108599999892,4.0160000054356715e-06,2.2076000007587027e-05,8.300000004624053e-06,2.886100000409897e-05,7.929800000283649e-05,0.0,0.013516435999989085,1.9255000012208257e-05,5.5527000000665794e-05,1.414499999441432e-05,1.2174999994840618e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001201850000001059,0.018747305999994524,0.02173440399997162,0.018560624999992115,2.275099998882979e-05,0.011136821999997437,0.007399865000010664,19.0,0.0028375129999886894,0.0001495849999884058,9.195337887999997
9,0.4268988550000046,0.4268988550000046,0.00021911800000395942,0.4025500660000034,0.396067099000021,0.396067099000021,0.3847983489999791,7.923199997605934e-05,0.0011067730000036136,4.866899999456109e-05,5.1644000066630724e-05,32.0,26.0,0.0,26.0,6.0,8.45329006,8.438656574000007,8.419961557999997,8.438623745000001,0.0016367040000062616,0.01776993099998947,0.007528711999995608,1.1581999999066284e-05,3.9278995160000107,3.8749635770000026,0.13721053800000504,0.05740849100000389,0.0003292880000032028,2.3306999992200872e-05,8.25049999946259e-05,0.14807326499999363,0.2468825570000064,2.983000001677283e-06,1.5453999992587342e-05,6.688999988568867e-06,2.323599998987902e-05,8.78499999998894e-05,0.0,0.012907690999995225,2.0667000001139968e-05,5.979600000216578e-05,1.694700000598459e-05,1.2836999999876753e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001349879999992254,0.019414564000001633,0.021921690000013427,0.019224047999998106,2.2081999986767187e-05,0.010124009999998407,0.009076895999996282,20.0,0.0023629370000008976,0.00014418900001089696,9.305263315999994
